Week of Year,Day of Week,Registered,Casual,Registerd Pct,Casual Pct
2,1,3722,1242,0.74979855,0.25020145
2,2,4859,274,0.94661991,0.05338009
2,3,4601,249,0.948659794,0.051340206
2,4,5459,253,0.955707283,0.044292717
2,5,6221,371,0.94371966,0.05628034
2,6,5806,347,0.943604746,0.056395254
2,7,4549,765,0.856040647,0.143959353
3,1,4707,956,0.831184884,0.168815116
3,2,5866,428,0.931998729,0.068001271
3,3,6103,387,0.9403698,0.0596302
3,4,5349,271,0.951779359,0.048220641
3,5,6686,478,0.933277499,0.066722501
3,6,5477,506,0.915427043,0.084572957
3,7,4472,1436,0.756939743,0.243060257
6,1,3134,477,0.867903628,0.132096372
6,2,4414,190,0.958731538,0.041268462
6,3,6357,227,0.965522479,0.034477521
6,4,4171,72,0.983030874,0.016969126
6,5,6390,301,0.955014198,0.044985802
6,6,5440,382,0.934386809,0.065613191
6,7,4254,788,0.843712812,0.156287188
7,1,3993,671,0.856132075,0.143867925
7,2,5728,266,0.955622289,0.044377711
7,3,3942,111,0.972612879,0.027387121
7,4,5309,184,0.966502822,0.033497178
7,5,4155,91,0.978568064,0.021431936
7,6,4191,172,0.960577584,0.039422416
7,7,1417,118,0.923127036,0.076872964
8,1,1626,225,0.878444084,0.121555916
8,2,477,24,0.952095808,0.047904192
8,3,3155,83,0.974366893,0.025633107
8,4,5856,241,0.960472363,0.039527637
8,5,5605,217,0.962727585,0.037272415
8,6,5344,289,0.948695189,0.051304811
8,7,5594,2651,0.678471801,0.321528199
9,1,3521,733,0.827691584,0.172308416
9,2,6626,522,0.92697258,0.07302742
9,3,2528,57,0.97794971,0.02205029
9,4,3212,67,0.979566941,0.020433059
9,5,6161,169,0.973301738,0.026698262
9,6,5199,146,0.972684752,0.027315248
9,7,4450,982,0.81921944,0.18078056
10,1,5940,2792,0.680256528,0.319743472
10,2,7181,647,0.917347982,0.082652018
10,3,7902,686,0.920121099,0.079878901
10,4,5708,210,0.964515039,0.035484961
10,5,5651,251,0.957472043,0.042527957
10,6,5072,273,0.948924228,0.051075772
10,7,4225,1109,0.792088489,0.207911511
11,1,4360,1539,0.739108323,0.260891677
11,2,7524,1479,0.835721426,0.164278574
11,3,8888,1670,0.841826103,0.158173897
11,4,9289,1925,0.828339576,0.171660424
11,5,9044,1910,0.825634471,0.174365529
11,6,8930,2290,0.795900178,0.204099822
11,7,6465,3962,0.620024935,0.379975065
12,1,3768,1426,0.725452445,0.274547555
12,2,6801,870,0.886585843,0.113414157
12,3,7543,1015,0.881397523,0.118602477
12,4,9403,3953,0.704028152,0.295971848
12,5,8887,1786,0.832661857,0.167338143
12,6,8868,2561,0.775920903,0.224079097
12,7,2731,496,0.84629687,0.15370313
13,1,3769,763,0.831641659,0.168358341
13,2,6742,838,0.88944591,0.11055409
13,3,8353,1410,0.855577179,0.144422821
13,4,9960,2380,0.80713128,0.19286872
13,5,10224,3139,0.765097658,0.234902342
13,6,8938,3274,0.731903046,0.268096954
13,7,7089,7027,0.50219609,0.49780391
